@relation 'cleaned_summer_products-weka.filters.unsupervised.attribute.Remove-V-R3,5-6,22,25-26'

@attribute units_sold numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute merchant_rating_count numeric
@attribute revenue numeric
@attribute sales_level {Low,High,Medium}

@data
1000,3.19,245,9341,7000,Medium
1000,3.93,426,5807,8000,Medium
10,5,0,27175,80,Low
12350,4.32,3648,4448,135850,High
1,5,0,1380,11,Low
100,3.18,11,359,370,Low
5000,3.75,1892,16447,70000,High
5000,4.26,1273,67171,55000,High
1000,3.63,477,2116,18000,Medium
12350,4.29,4266,165915,148200,High
1000,4.05,167,22711,14000,Medium
50,4.33,3,4773,400,Low
10000,4.03,510,783,17700,High
5000,4.14,856,2293,18650,High
100,3.92,12,65189,800,Low
5000,4.09,1903,15855,90000,High
100,4.07,46,32168,400,Low
10000,3.89,1232,7544,56800,High
50,3,2,2782,87.5,Low
100,4.13,60,849,1400,Low
1000,2.75,127,9470,8000,Medium
10000,4.04,2211,55089,60000,High
5000,3.25,392,4295,29450,High
1000,3.77,435,3883,5000,Medium
12350,4.03,7022,151249,33468.5,High
100,5,3,299,1100,Low
100,4.1,10,16803,1600,Low
5000,4.01,542,8242,35000,High
50,1,1,254,200,Low
100,3.13,8,18877,600,Low
10,5,0,8,80,Low
100,4.24,41,3053,400,Low
10000,3.92,2841,12371,110000,High
5000,3.47,371,3592,60000,High
1000,2.99,228,5264,11000,Medium
10000,4.05,697,2399,19100,High
12350,3.45,8164,96276,70395,High
5000,4.47,907,1963,40000,High
1000,3.58,81,13814,9000,Medium
100,2.5,4,1373,572,Low
100,3.2,10,8225,200,Low
1000,4.16,129,16527,9000,Medium
10,4,4,331,150,Low
50,4.17,12,26,939.25,Low
1000,3.67,304,3300,6000,Medium
1000,3.08,109,7936,3000,Medium
10000,4.15,2587,5808,90000,High
10000,3.98,1612,35262,80000,High
100,2.82,28,29,1200,Low
100,3.8,5,23832,1100,Low
100,3.3,10,16099,900,Low
1000,4.33,144,10963,7000,Medium
100,3.71,17,5106,592,Low
1000,4.34,794,3403,8000,Medium
100,3.54,28,1926,1100,Low
10000,3.62,2069,12006,80000,High
12350,3.94,6735,165915,185250,High
12350,3.59,2189,12309,98800,High
1000,3.95,238,12309,1680,Medium
1000,4.21,762,4084,18785,Medium
100,3.67,33,3028,565,Low
100,4.35,26,21,1300,Low
100,4.07,76,15551,1600,Low
100,4.36,22,17471,583,Low
5000,3.32,579,4213,35000,High
5000,3.98,921,41906,40000,High
5000,4.23,1002,5534,28250,High
1000,3.68,76,4230,1800,Medium
100,3,22,3060,700,Low
1000,4.06,252,5934,9000,Medium
1000,3.49,201,779,12000,Medium
1000,3.84,132,2055,8000,Medium
1000,3.74,54,73271,11000,Medium
10000,3.54,2006,13946,80000,High
100,4,6,1559,700,Low
1000,3.51,79,13979,6000,Medium
1000,4.19,201,3439,6000,Medium
100,3.42,79,27764,1300,Low
1000,4.08,408,12763,7000,Medium
1000,3.5,64,12919,13000,Medium
50,3.88,8,52,600,Low
1000,4.23,317,3709,5710,Medium
100,3,4,17222,1100,Low
12350,3.93,8412,56999,46806.5,High
100,3.39,18,290,800,Low
12350,4.09,6689,151249,24700,High
1000,3.74,518,4233,6000,Medium
50,4.2,15,144,300,Low
100,3.75,4,18029,1300,Low
1000,4.25,220,4072,8000,Medium
100,5,0,0,700,Low
5000,4.05,654,8117,55000,High
1000,3.91,808,87178,11000,Medium
5000,3.8,757,246312,40000,High
1000,3.67,191,5654,1650,Medium
10000,3.7,904,6651,80000,High
1000,3.76,899,1990,12000,Medium
10000,3.84,1982,66644,90000,High
12350,3.33,3216,54504,98800,High
100,3,9,17,1100,Low
1000,4.29,410,1733,11000,Medium
5000,3.75,429,1029,45000,High
10000,3.12,567,5934,70000,High
100,3.93,41,151249,600,Low
100,4.24,50,1160,700,Low
12350,3.92,10150,25093,135850,High
1000,4.08,454,895,11000,Medium
1000,4.12,442,1369,7000,Medium
1000,4.01,153,4136,8000,Medium
5000,3.95,1632,32323,75000,High
100,4.86,7,2228,900,Low
10000,4.41,3078,11264,70000,High
100,3.08,39,103,1100,Low
1000,3,87,232,6000,Medium
100,4.07,58,123,800,Low
100,2.92,12,366,200,Low
100,4.04,57,4516,800,Low
1000,4.04,235,541,18785,Medium
1000,3.89,140,124563,11000,Medium
1000,3.73,142,3053,6000,Medium
5000,4.22,958,213709,30000,High
100,3.84,37,3237,900,Low
12350,3.64,1711,55499,148200,High
12350,3.71,2706,6714,74100,High
5000,3.81,719,139788,45000,High
100,4.62,34,1465,1800,Low
5000,2.95,299,2608,55000,High
1000,3.7,332,4048,13000,Medium
12350,3.66,8971,73701,135850,High
1000,4.09,100,6300,11000,Medium
100,4.14,51,16994,1100,Low
50,5,0,14676,450,Low
12350,3.62,1742,3791,34950.5,High
5000,3.39,1632,8547,35000,High
100,3.23,69,897,1500,Low
5000,3.44,734,13075,70000,High
10,5,0,52,120,Low
