@relation cleaned_summer_products

@attribute price numeric
@attribute retail_price numeric
@attribute rating numeric
@attribute rating_count numeric
@attribute badge_local_product numeric
@attribute badge_product_quality numeric
@attribute shipping_is_express numeric
@attribute countries_shipped_to numeric
@attribute merchant_rating_count numeric
@attribute merchant_rating numeric
@attribute merchant_has_profile_picture numeric
@attribute performance {average,very_successful,successful}

@data
12,11,3.67,646,0,0,0,24,870,3.891954,0,successful
8,42,3.5,409,0,0,0,41,8433,3.875963,0,successful
1.89,2,3.46,39,0,0,0,33,540,4.105556,0,average
12,17,4.21,103,0,0,0,43,20478,3.910343,1,successful
6,6,3.6,569,0,0,0,20,7314,3.938201,0,successful
4,4,4.28,1754,0,1,0,18,15538,4.156198,0,successful
7,33,2.75,8,0,0,0,43,41623,3.917449,1,average
8,7,3.9,21,0,0,0,21,6126,4.318315,1,average
5,5,4.5,6,0,0,0,45,10600,3.867547,0,average
5.84,5,3.45,1312,0,0,0,48,32168,3.884544,0,successful
8,13,3.99,2753,0,0,0,44,33148,3.975624,0,successful
19,21,4.09,1561,0,0,0,40,9116,4.092914,1,successful
11,10,3.54,13,0,0,0,42,885,4.155932,1,average
3.85,10,3.33,3,0,0,0,25,7676,4.039474,0,average
9,48,4.01,135,0,0,0,25,6632,3.748794,0,successful
8,9,0,0,0,0,0,38,108048,4.052504,1,average
11,10,4,221,0,0,0,36,73119,4.004267,1,successful
6,13,3.85,1124,0,0,0,40,15076,4.084969,0,very_successful
5,33,3.98,13789,0,0,0,41,366898,4.036081,0,very_successful
16,14,4.05,82,0,0,0,36,514,4.217899,0,average
13,11,3.91,11,0,0,0,28,38,3.473684,0,average
9,34,3.14,28,0,0,0,40,1472,3.534647,0,average
7,6,3.64,11,0,0,0,104,855,4.264327,0,average
6,6,3.96,4082,0,0,0,40,45964,3.998651,0,very_successful
8,7,3.71,903,0,0,0,35,12974,3.965701,0,successful
4.7,17,4,10,0,0,0,43,80093,4.006692,0,average
4,4,3.45,1412,0,0,0,45,21412,4.149262,0,successful
8,7,3.57,309,0,0,0,41,5365,3.945946,0,successful
16,59,3.5,222,0,0,0,43,3743,3.897141,0,successful
11,10,3.29,38,0,0,0,80,168,3.732143,0,average
5.77,5,3.85,2892,0,0,0,43,19735,3.97507,0,successful
8,84,4.19,3679,0,1,0,37,80713,4.187814,0,successful
14,13,4.5,113,0,1,0,40,7627,4.047725,0,average
6,26,3.25,12,0,0,0,40,99,3.646465,0,average
13,11,4,4,0,0,0,42,45151,4.032956,0,average
11,50,4.22,2878,0,1,0,43,36361,3.96752,0,very_successful
4,4,3.39,783,0,0,0,48,32168,3.884544,0,successful
5.77,16,3.72,687,0,0,0,44,6570,4.220091,0,successful
9,50,4.17,2440,0,0,0,41,15106,4.007149,0,very_successful
11,16,3.75,1586,0,0,0,42,120781,4.1524,1,successful
7,6,4,4,0,0,0,139,34,4.352941,0,average
9,22,4.24,131,0,0,0,51,4516,4.231842,0,successful
5.81,34,3.54,54,0,0,0,43,80093,4.006692,0,successful
11,59,3.66,56,0,0,0,54,4811,4.194554,0,average
11,10,3.69,2160,0,0,0,37,5281,4.023291,1,very_successful
8,7,3.53,876,0,0,0,42,2510,3.903586,0,successful
11,10,3.65,2422,0,0,0,46,78616,4.310433,0,successful
6,6,4.07,844,0,0,0,24,10474,3.908535,0,successful
5,6,4.07,824,0,0,0,41,32778,4.048356,0,successful
6,6,3.92,609,0,0,0,38,1411,3.923459,0,successful
8,7,4.02,1061,0,0,0,43,42919,4.105967,0,successful
13,26,4.06,113,0,0,0,35,3682,4.463064,0,average
11,10,3.73,22,0,0,0,68,1746,4.024055,0,average
5.65,25,3.65,418,0,0,0,43,23465,4.017601,1,successful
